Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,89.720001,89.779999,88.070000,89.169998,84.564362,269900
2021-12-09,89.629997,90.040001,89.059998,89.410004,84.791969,43600
2021-12-10,90.089996,90.199997,89.669998,90.040001,85.389427,69000
2021-12-13,87.440002,87.629997,86.300003,86.519997,82.051231,60700
2021-12-14,88.489998,90.070000,88.360001,89.040001,84.441078,87900
2021-12-15,88.180000,89.529999,87.239998,89.230003,84.621269,196400
2021-12-16,91.459999,92.010002,90.720001,91.250000,86.536934,153600
2021-12-17,89.910004,90.029999,88.879997,89.389999,84.773003,259200
2021-12-20,84.529999,85.480003,84.489998,85.480003,85.480003,91900
2021-12-21,85.070000,85.790001,85.000000,85.599998,85.599998,73300
2021-12-22,86.239998,86.419998,85.839996,86.070000,86.070000,89800
2021-12-23,85.889999,86.099998,85.410004,85.720001,85.720001,43700
2021-12-27,86.110001,87.000000,86.010002,86.879997,86.879997,39600
2021-12-28,87.680000,87.959999,87.500000,87.669998,87.669998,42600
2021-12-29,87.470001,87.779999,87.250000,87.730003,87.730003,38400
2021-12-30,87.400002,88.129997,87.400002,88.050003,88.050003,43800
2021-12-31,86.599998,90.540001,86.599998,89.800003,89.800003,29200
2022-01-03,89.160004,89.540001,88.750000,89.230003,89.230003,59700
2022-01-04,88.870003,89.769997,88.809998,89.220001,89.220001,34700
2022-01-05,88.080002,88.410004,85.040001,85.050003,85.050003,59200
2022-01-06,86.480003,88.019997,86.400002,87.730003,87.730003,45700
2022-01-07,89.620003,90.120003,89.360001,90.089996,90.089996,134200
2022-01-10,89.430000,90.419998,88.839996,90.110001,90.110001,33200
2022-01-11,90.500000,91.830002,90.320000,91.599998,91.599998,41400
2022-01-12,93.389999,93.389999,91.940002,92.889999,92.889999,95000
2022-01-13,89.750000,89.849998,86.500000,87.300003,87.300003,57800
2022-01-14,85.750000,87.500000,85.570000,87.050003,87.050003,113500
2022-01-18,80.660004,82.970001,80.190002,81.190002,81.190002,154700
2022-01-19,84.830002,86.139999,84.029999,85.209999,85.209999,115000
2022-01-20,85.099998,85.889999,83.510002,83.690002,83.690002,85000
2022-01-21,84.029999,84.470001,82.480003,82.959999,82.959999,135400
2022-01-24,78.910004,80.000000,76.760002,79.809998,79.809998,327800
2022-01-25,79.900002,83.599998,79.199997,83.410004,83.410004,144000
2022-01-26,83.629997,83.940002,81.839996,82.279999,82.279999,191500
2022-01-27,87.930000,88.919998,86.800003,87.430000,87.430000,88600
2022-01-28,87.970001,88.470001,86.959999,87.220001,87.220001,274300
2022-01-31,88.050003,89.040001,87.849998,88.870003,88.870003,89800
2022-02-01,91.059998,91.370003,89.660004,90.769997,90.769997,81900
2022-02-02,92.099998,92.779999,91.620003,92.779999,92.779999,57200
2022-02-03,89.529999,90.129997,88.750000,89.790001,89.790001,55400
2022-02-04,91.540001,92.589996,89.800003,91.980003,91.980003,51300
2022-02-07,91.580002,92.849998,91.580002,91.919998,91.919998,74900
2022-02-08,92.879997,93.300003,92.389999,92.419998,92.419998,178900
2022-02-09,92.930000,93.809998,92.709999,93.050003,93.050003,221300
2022-02-10,93.470001,94.739998,92.529999,92.830002,92.830002,218200
2022-02-11,90.730003,90.839996,85.720001,86.809998,86.809998,153400
2022-02-14,89.599998,90.000000,86.959999,88.230003,88.230003,160600
2022-02-15,92.790001,93.250000,91.610001,92.639999,92.639999,83000
2022-02-16,92.190002,92.980003,92.099998,92.110001,92.110001,89800
2022-02-17,87.980003,88.820000,87.400002,87.760002,87.760002,63500
2022-02-18,84.870003,85.970001,83.099998,83.610001,83.610001,162300
2022-02-22,70.980003,76.410004,70.910004,75.000000,75.000000,391300
2022-02-23,74.209999,74.419998,67.750000,67.750000,67.750000,646500
2022-02-24,37.720001,52.590000,35.000000,50.360001,50.360001,1501200
2022-02-25,54.340000,54.959999,47.299999,49.700001,49.700001,1020800
2022-02-28,24.530001,28.080000,18.549999,24.049999,24.049999,4735600
2022-03-01,12.060000,23.879999,12.010000,14.260000,14.260000,6310800
2022-03-02,12.710000,15.690000,7.230000,12.000000,12.000000,6116000
2022-03-03,10.530000,10.530000,6.860000,6.960000,6.960000,586600
2022-03-04,6.960000,6.960000,6.960000,6.960000,6.960000,0
2022-03-07,6.960000,6.960000,6.960000,6.960000,6.960000,0
2022-03-08,6.960000,6.960000,6.960000,6.960000,6.960000,0
2022-03-09,6.960000,6.960000,6.960000,6.960000,6.960000,0
2022-03-10,6.960000,6.960000,6.960000,6.960000,6.960000,0
2022-03-11,6.960000,6.960000,6.960000,6.960000,6.960000,0
